('friss citromlé',189,45,0.6,0.1,8.6,1,142,9.6,9,1,NULL),
('friss grapefruitlé',173,41,0.8,0,3.1,5,236,15,9.5,90,0.2),
('friss paradicsomlé',67,16,Fehérje g,Zsír g,Szénhidrát g,Nátrium mg,Kálium mg,Kalcium mg,Magnézium mg,Retinol ekv. µg,ENULLvitamin mg),
('Élelmiszerek. nyersanyagok',Energia kJ,Energia kcal),),,,,,
('100 g',,,0.6,NULL,4.8,52,219,27,8,437,0.5),
('friss sárgarépalé',98,23,0.7,0.2,10.9,1,157,11,12,NULL,NULL),
('friss narancslé',NULL,214,0.2,NULL,12.2,8,34,13,8.8,NULL,NULL),
('friss szõlõlé',231,55,0.3,0.4,1.4,47,282,27,30,NULL,NULL),
('kókusztej',43,10,NULL,NULL,5.1,NULL,NULL,NULL,NULL,NULL,NULL),
('light rostos õszibaracklé',85,20,NULL,NULL,4.6,NULL,NULL,NULL,NULL,NULL,NULL),
('light rostos sárgabaracklé',78,19,0,NULL,2.8,0,23,1.4,0.8,1,NULL),
('light szõrt almalé',49,12,0.7,0.2,10.1,1,172,15,12,12,NULL),
('narancslé light',201,48,0.2,0.1,14.8,1,40,6.3,4,2,0.1),
('rostos körtelé 40%NULLos',256,61,0.3,0,13.6,1,73,3.5,5.6,20,0.4),
('rostos õszibaracklé 40%NULLos',237,57,0.4,0.1,14.1,2,91,5.6,5.6,91,0.1),
('rostos sárgabaracklé 40 %NULLos',251,60,0,NULL,14.7,0,14,0.9,0.5,1,NULL),
('szõrt almalé 12%NULLos',248,59,0.3,0.1,14.4,0,63,4.5,4.8,4,NULL),
('szõrt narancslé 40%NULLos',253,61,0,NULL,14.5,1,4,1.6,1.1,NULL,NULL),
('szõrt szõlõlé 12%NULLos',246,59,NULL,NULL,0.1,16,2,4,1,NULL,NULL),
('cola light üdítõ',2,0,NULL,NULL,10.5,4,1,3,1,NULL,NULL),
('cola üdítõ',176,42,NULL,NULL,61.9,280,26,NULL,NULL,NULL,NULL),
('csipkeszörp',1040,249,NULL,NULL,8.7,7,1,3,1,NULL,NULL),
('gyömbér üdítõ',146,35,NULL,NULL,65.8,2,90,16,7,NULL,NULL),
('málnaszörp',1105,264,2.4,1.5,53.2,43,674,34,83,NULL,NULL),
('narancs szörp',1052,252,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL),
('narancs üdítõ',202,48,NULL,NULL,8.8,4,NULL,1,NULL,NULL,NULL),
('tonic üdítõ',148,35,NULL,NULL,5.9,3,50,3,NULL,1,NULL),
('barnasör',214,51,NULL,NULL,4.6,5,38,4,9,NULL,NULL),
('világos sör',160,38,NULL,NULL,3,2,82,9,10,NULL,NULL),
('fehérbor',315,75,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL),
('félédes pezsgõ',332,79,NULL,NULL,12.5,NULL,NULL,7,9,NULL,NULL),
('vermouth',622,149,NULL,NULL,0.3,4,93,7.6,8.3,NULL,NULL),
('vörösbor',236,56,NULL,NULL,1.7,2,2,NULL,NULL,NULL,NULL),
('konyak',1028,246,NULL,NULL,32.5,NULL,NULL,NULL,NULL,NULL,NULL),
('likõr',1281,306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL),
('pálinka',1088,260,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL),
('unicum',1348,323,NULL,NULL,0.1,0,3,1.5,0.3,NULL,NULL),
('whisky',1037,248,20.9,5.2,0.5,95,250,15,30,10,0.3),
('csirkecomb',556,133,21.5,2.5,0.4,76,281,5,30,10,0.3),
('csirkehús',462,111,17.6,17.7,NULL,70,260,10,20,NULL,0.2),
('csirkehús bõrrel',965,231,24.7,1,0.5,76,281,5,30,10,0.2),
('csirkemell',461,110,19,12,0.4,140,292,6,22,70,0),
('kacsahús',780,186,18.5,13.6,0.3,69,315,6,24,70,0),
('pecsenyeliba',830,199,20.5,3.6,NULL,86,289,10,17,2,0.2),
('pulykacomb',481,115,20.5,9.5,0.4,66,315,26,28,2,0.5),
('pulykahús',710,170,24.1,1,NULL,46,333,10,20,2,0.2),
('pulykamell',442,106,19,6.5,0.4,76,281,5,30,10,0.1),
('tyúkhús',572,137,16.9,26.4,0.3,100,350,9,16,30,0.4),
('birkahús',1287,308,19.5,4.5,0.3,100,350,11,25,7,0.2),
('borjúhús',503,120,22.3,1.9,0.5,NULL,NULL,NULL,NULL,NULL,NULL),
('fácánhús',455,109,21,8,0.4,58,383,19,20,10,0.1),
('házinyúlhús',662,158,20.8,1.9,0.4,60,309,5,NULL,NULL,NULL),
('õzhús',428,102,19.7,12.7,0.3,90,327,15,17,30,0.4),
('sovány bárányhús',816,195,20.7,3.9,0.6,61,330,7,29,NULL,NULL),
('szarvashús',505,121,21.6,2.4,0.4,NULL,NULL,NULL,NULL,NULL,NULL),
('vaddisznóhús',460,110,22.7,3.1,0.5,NULL,NULL,NULL,NULL,NULL,0),
('vadkacsa',507,121,19,4.4,0.6,50,360,10,36,12,0.2),
('bélszín',496,119,19,14,0.6,58,342,11,22,15,0.4),
('közepes zsírtartalmú marhahús',858,205,17,19,0.6,60,263,2,17,15,0.4),
('marhafelsál',1014,243,16,19,0.6,60,263,2,17,15,0.4),
('lapos marhahátszín',1026,246,20,18,0.6,60,263,2,17,15,0.4),
('puha marhahátszín',997,239,19,6.2,0.6,50,360,10,36,3,0.2),
('marhatarja',564,135,21,6.2,0.6,50,360,10,36,3,0.2),
('sovány marhahús',597,143,16,21,0.5,60,263,2,NULL,15,0.9),
('zsíros marhahús',1071,256,16,29,0.3,55,204,6,NULL,8,0.1),
('csülök',1370,328,17.5,23.9,0.3,68,301,13.2,41,8,0.1),
('közepes zsírtartalmú sertéshús',1202,288,12,42,0.3,42,169,10.9,29,8,0.1),
('oldalas',1794,429,21,8.1,0.4,84,366,16.9,42,8,0.1),
('sovány sertéshús. comb. karaj',666,159,12,42,0.3,42,169,10.9,29,8,0.1),
('zsíros sertéshús',1794,429,16.8,46.5,NULL,1200,200,4,15,8,0.2),
('angolszalonna',2040,488,11,2.9,0.6,2288,147,14.3,11.2,8,0),
('aszpikos uborkás sonka',302,72,14.7,15.6,2.7,730,182,NULL,24.3,NULL,NULL),
('baromfipárizsi',881,211,14.7,15.6,2.7,730,182,NULL,24.3,NULL,NULL),
('baromfivirsli',881,211,19.8,41.9,0.3,1605,480,36,39,8,0.3),
('csabai csípõskolbász',1922,460,10,45,NULL,1200,200,4,15,NULL,0.2),
('császárszalonna',1869,447,16.3,29.8,0.3,1500,226,10,22,8,0.1),
('cserkészkolbász',1405,336,22.2,1.4,7,921,416,17.6,32.1,7,0.1),
('csirkesonka',543,130,15.7,27,0.2,1160,290,7.5,19,8,0.2),
('debreceni',1288,308,14.5,28.3,0.2,1750,130,26,22,8,0.1),
('disznósajt',1317,315,17.8,35.5,0.3,1710,350,44,57,8,0.2),
('fõzõkolbász',1646,394,15,15,0.3,1600,270,15,24,8,NULL),
('füstölt fõtt tarja',824,197,15.5,25.4,0.3,1120,182,32,39,8,0.1),
('füstöltkolbász',1226,293,17.2,33,0.1,2030,400,27,44,8,0.1),
('füstölt sertés sonka',1538,368,22.6,7.1,0.4,445,314,24.4,25,8,0.1),
('gépsonka',655,157,15.1,11.2,2.3,1159,286,19.1,19.1,30,0.3),
('hamburgerpogácsa',715,171,11.9,18.2,0.2,910,250,20.4,32,8,0.1),
('krinolin',891,213,16.3,22.9,0.3,1050,226,28,22,8,0.1),
('lecsókolbász',1145,274,13.8,22,2,1120,212,12,59,8,0.1),
('löncshús',1097,262,11.2,18.2,2,2106,232,16,18,NULL,NULL),
('marhapárizsi',910,218,13.7,30.8,0.3,1680,256,8,13,8,0.2),
('mortadella',1399,335,13.7,30.8,0.3,1680,256,8,13,8,0.2),
('olasz felvágott',1399,335,19.6,45.8,0.3,1600,480,18,39,8,0.3),
('paprikás szalámi',2066,494,11.9,18.2,0.2,910,250,20.4,32,8,0.1),
('sertéspárizsi',891,213,22.8,42,NULL,776,160,44.9,37.1,1,0.1),
('pulykakolbász',1971,471,17,2.8,4.2,851,290,72,23.5,1,NULL),
('pulykasonka',462,111,18.5,19.1,3.5,890,432,35.2,51,4,0.1),
('rakott nyelv',1090,261,13,19,3.9,774,91,299.2,16.7,NULL,NULL),
('sajtos baromfipárizsi',1002,240,21.2,8.2,0.2,1310,426,32,52,8,0.1),
('sonkaszalámi',669,160,22.7,42,NULL,1120,530,44,57,8,0.2),
('sütnivaló kolbász',1969,471,20,32.1,0.3,1605,182,32,15,8,0.2),
('szárazkolbász',1554,372,10.3,14.6,2.4,741,269,24.6,33.8,195,0.2),
('tavaszi felvágott',767,183,25.1,46.1,0.3,1700,400,18,39,8,0.3),
('téliszalámi',2169,519,17.5,41,0.3,1545,360,34,17,8,0.3),
('túristaszalámi',1849,442,12.5,20,0.2,1000,250,20.4,32,8,0.1),
('sertés virsli',969,232,15.6,19.9,0.6,1000,250,20.4,32,8,0.1),
('zalai felvágott',1024,245,19.2,4.1,3.6,87,316,8.7,19,3920,0.2),
('borjúmáj',540,129,20,3.7,3,68,218,18,13,11600,0.4),
('csirkemáj',526,126,17.3,5.8,0.7,111,262,22,17,9,1.2),
('csirkeszív',523,125,16.6,2.4,0.3,66,111,5.6,21.8,9,1.2),
('csirkezúza',375,90,15.9,27.7,0.3,1100,195,10,27,1500,0.2),
('kenõmájas',1319,316,16.4,4.3,6.3,140,230,43,24,NULL,NULL),
('libamáj',543,130,14.6,11.4,10.1,903,255,17.4,24.7,830,0.2),
('májashurka',845,202,20.9,3.1,3.6,120,332,12.8,34,4000,0.7),
('marhamáj',529,127,15.9,11.2,NULL,130,224,30,22,NULL,0.1),
('sertéspacal',690,165,10.6,9,NULL,153,312,10,20,NULL,1.2),
('sertés agyvelõ',518,124,19.5,5.3,2.5,77,368,16.4,38,4500,0.2),
('sertésmáj',570,136,13.4,21,5.9,738,173,10,15,950,0.2),
('sertésmájkrém',1118,267,16.8,16,0.5,127,314,18.8,33,6,0.1),
('sertésnyelv',895,214,20.1,2.9,0.6,224,299,16.7,27,60,0.5),
('sertéstüdõ',457,109,18.5,0.1,0.1,207,185,5,20,30,NULL),
('sertésvér',316,76,17,5,0.3,160,284,17.6,33,302,0.4),
('sertésvese',480,115,12.2,19.4,6.4,949,154,11.9,21.4,12,0.1),
('véreshurka',1047,250,15,24.5,NULL,65,217,17,21,980,NULL),
('angolna',1178,282,17.8,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL),
('balin',507,121,18,1.9,0.6,70,210,130,40,NULL,NULL),
('busa',384,92,18.4,0.9,NULL,63,250,20,25,15,0.2),
('csuka',341,82,19,0.8,0.2,81,237,27,18,20,0.2),
('fogassüllõ',353,84,15.8,2,0.2,105,282,20,27,20,2.1),
('harcsa',343,82,18.2,17.8,NULL,117,360,34,31,38,1.5),
('hering',979,234,16.6,5.5,0.2,31,478,53.3,59.9,4,2.6),
('keszeg',490,117,20,14,0.2,51,371,13,29,65,1.3),
('lazac',869,208,18.7,11.9,NULL,95,396,12,30,100,1.3),
('makrela',764,183,21.5,2.9,NULL,40,465,18,27,45,0.7),
('pisztráng',471,113,15.8,8.7,0.1,50,310,30,30,44,0.5),
('ponty',596,143,19.4,4.5,NULL,100,NULL,85,24,20,0.3),
('szardínia',498,119,12.7,0.7,0.8,NULL,216,21.3,NULL,NULL,NULL),
('tintahal',254,61,21.5,15.5,NULL,43,NULL,40,50,450,NULL),
('tonhal filé',947,227,17.7,0.6,1.2,72,356,24,25,7,1),
('tõkehal filé',342,82,14.4,2.2,NULL,582,145,30,39,84,3.5),
('kagyló',325,78,19.5,2,2,NULL,140,55,50,84,3.5),
('kagylókonzerv',437,104,26,16,4.6,1940,164,51,NULL,600,NULL),
('kaviár',1119,268,18.9,28,NULL,NULL,NULL,15,NULL,108,0.9),
